Hour,Load,PV,P_ch,P_dis,SOC,Import,Export,Price,Net_load_PV,Net_load_PV_Battery,Objective
1,4.481,0.0,0.0,0.0,0.0,4.480999999999895,0.0,0.21644,4.481,4.481,23.229513895897412
2,4.113,0.0,0.0,0.0,0.0,4.113,0.0,0.21009,4.113,4.113,23.229513895897412
3,3.92,0.0,3.264102564102565,0.0,3.1825000000000006,7.184102564102565,0.0,0.2012,3.92,7.184102564102565,23.229513895897412
4,4.012,0.0,3.3,0.0,6.4,7.311999999999999,0.0,0.20097,4.012,7.311999999999999,23.229513895897412
5,3.897,0.067,0.0,0.0,6.4,3.8299999999999996,0.0,0.20813,3.8299999999999996,3.8299999999999996,23.229513895897412
6,3.665,0.381,0.0,0.0,6.4,3.284,0.0,0.21263,3.284,3.284,23.229513895897412
7,4.049,1.278,0.0,0.0,6.4,2.7710000000000004,0.0,0.22556,2.7710000000000004,2.7710000000000004,23.229513895897412
8,4.305,1.893,0.0,0.0,6.4,2.412,0.0,0.23167,2.412,2.412,23.229513895897412
9,4.847,2.641,0.0,0.0,6.4,2.2060000000000004,0.0,0.24045,2.2060000000000004,2.2060000000000004,23.229513895897412
10,5.78,3.444,0.0,0.0,6.4,2.3360000000000003,0.0,0.23975,2.3360000000000003,2.3360000000000003,23.229513895897412
11,5.708,3.566,0.0,3.3,3.0153846153846153,0.0,1.1579999999999995,0.24783,2.1420000000000003,-1.1579999999999995,23.229513895897412
12,5.665,3.189,0.0,2.9399999999999995,0.0,0.0,0.4639999999999995,0.24079,2.476,-0.4639999999999995,23.229513895897412
13,5.739,2.499,0.0,0.0,0.0,3.2399999999999998,0.0,0.24022,3.2399999999999998,3.2399999999999998,23.229513895897412
14,5.386,2.08,0.0,0.0,0.0,3.306,0.0,0.24056,3.306,3.306,23.229513895897412
15,5.461,1.36,0.0,0.0,0.0,4.101,0.0,0.23952,4.101,4.101,23.229513895897412
16,5.476,0.44,0.0,0.0,0.0,5.036,0.0,0.23721,5.036,5.036,23.229513895897412
17,5.613,0.329,0.0,0.0,0.0,5.284000000000001,0.0,0.23918,5.284000000000001,5.284000000000001,23.229513895897412
18,6.043,0.146,0.0,0.0,0.0,5.897,0.0,0.23745,5.897,5.897,23.229513895897412
19,6.436,0.007,0.0,0.0,0.0,6.429,0.0,0.2334,6.429,6.429,23.229513895897412
20,6.234,0.0,0.0,0.0,0.0,6.234,0.0,0.23306,6.234,6.234,23.229513895897412
21,6.287,0.0,0.0,0.0,0.0,6.287,0.0,0.23294,6.287,6.287,23.229513895897412
22,6.31,0.0,0.0,0.0,0.0,6.31,0.0,0.23329,6.31,6.31,23.229513895897412
23,6.089,0.0,0.0,0.0,0.0,6.089,0.0,0.23456,6.089,6.089,23.229513895897412
24,6.018,0.0,0.0,0.0,0.0,6.018,0.0,0.22879,6.018,6.018,23.229513895897412
